"spend","Display","Paid Search","Paid Social"
84077.1200482605,1022.45032051078,2343.74799386359,543.239470535108
88080.792431511,1069.04690241529,2448.68788577511,566.146927974947
92084.4648147615,1115.45907605991,2553.04714385784,588.807067729997
96088.137198012,1161.68757124938,2656.82898076653,611.222559936715
100091.809581263,1207.7331149002,2760.03659138028,633.396045903739
104095.481964513,1253.59643105206,2862.67315290088,655.33013842313
108099.154347764,1299.27824087925,2964.74182495061,677.027422078242
112102.826731014,1344.77926270193,3066.24574966953,698.49045354828
116106.499114265,1390.10021199752,3167.1880518122,719.72176190956
120110.171497515,1435.24180141188,3267.57183884385,740.723848933521
124113.843880766,1480.20474077054,3367.40020103609,761.499189381519
128117.516264016,1524.98973708987,3466.67621156198,782.050231296441
132121.188647267,1569.59749458817,3565.40292659073,802.379396291161
136124.861030517,1614.02871469679,3663.58338538166,822.489079833897
140128.533413768,1658.2840960711,3761.22061037787,842.381651530472
144132.205797018,1702.36433460153,3858.31760729923,862.059455403537
148135.878180269,1746.27012342447,3954.87736523491,881.52481016878
152139.550563519,1790.00215293321,4050.90285673544,900.780009508141
156143.22294677,1833.56111078876,4146.39703790414,919.827322340095
160146.89533002,1876.94768193069,4241.36284848823,938.668993087002
164150.567713271,1920.16254858787,4335.80321196921,957.307241939581
168154.240096521,1963.20639028923,4429.72103565296,975.744265118519
172157.912479772,2006.07988387442,4523.11921075919,993.982235133265
176161.584863022,2048.78370350448,4616.00061251043,1012.02330103802
180165.257246273,2091.31852067241,4708.36810022059,1029.86958868498
184168.929629523,2133.68500421375,4800.22451738295,1047.52320097483
188172.602012774,2175.88382031709,4891.5726917577,1064.98621810451
192176.274396024,2217.91563253455,4982.415435459,1082.26069781237
196179.946779275,2259.78110179219,5072.75554504154,1099.34867562066
200183.619162525,2301.48088640045,5162.59580158663,1116.25216507529
204187.291545776,2343.01564206447,5251.93897078784,1132.97315798321
208190.963929026,2384.38602189437,5340.7878030361,1149.51362464704
212194.636312277,2425.59267641561,5429.14503350441,1165.87551409726
216198.308695527,2466.63625357911,5517.01338223199,1182.06075432185
220201.981078778,2507.51739877154,5604.39555420808,1198.07125249354
224205.653462028,2548.23675482538,5691.29423945516,1213.90889519444
228209.325845279,2588.7949620291,5777.71211311178,1229.57554863844
232212.998228529,2629.19265813717,5863.65183551491,1245.07305889104
236216.67061178,2669.43047838014,5949.11605228186,1260.40325208692
240220.34299503,2709.50905547459,6034.10739439169,1275.56793464512
244224.015378281,2749.42901963309,6118.6284782662,1290.56889348188
248227.687761531,2789.19099857413,6202.68190585053,1305.4078962212
